id,token,tag
0,С,O
1,целью,O
2,снижения,Task
3,кардиотоксического,Task
4,действия,Task
5,антрациклинов,Task
6,в,O
7,качестве,O
8,``,O
9,ловушки,O
10,'',O
11,свободных,O
12,радикалов,O
13,кислорода,O
14,у,O
15,160,O
16,больных,O
17,местнораспространённым,O
18,раком,O
19,молочной,O
20,железы,O
21,",",O
22,рандомизированным,O
23,``,O
24,методом,O
25,конвертов,O
26,'',O
27,",",O
28,использован,O
29,препарат,O
30,реамберин,O
31,.,O
32,В,Conc
33,группе,Conc
34,больных,Conc
35,",",Conc
36,получивших,Conc
37,химиотерапию,Conc
38,по,Conc
39,схеме,Conc
40,CAF,Conc
41,с,Conc
42,реамберином,Conc
43,",",Conc
44,кардиальные,Conc
45,жалобы,Conc
46,",",Conc
47,метаболические,Conc
48,изменения,Conc
49,по,Conc
50,данным,Conc
51,ЭКГ,Conc
52,",",Conc
53,экстрасистолия,Conc
54,по,Conc
55,данным,Conc
56,холтеровского,Conc
57,мониторирования,Conc
58,отмечались,Conc
59,статистически,Conc
60,достоверно,Conc
61,реже,Conc
62,",",Conc
63,чем,Conc
64,в,Conc
65,группе,Conc
66,сравнения,Conc
67,.,O
68,Использование,Conc
69,реамберина,Conc
70,позволило,Conc
71,в,Conc
72,значительной,Conc
73,степени,Conc
74,снизить,Conc
75,кардиотоксическое,Conc
76,действие,Conc
77,антрациклинов,Conc
78,при,Conc
79,проведении,Conc
80,химиотерапии,Conc
81,у,Conc
82,больных,Conc
83,местнораспространённым,Conc
84,раком,Conc
85,молочной,Conc
86,железы,Conc
87,.,O
