id,token,tag
0,Статья,O
1,посвящена,O
2,применению,O
3,алгоритма,Method
4,Data,Method
5,Mining,Method
6,«,Method
7,Деревья,Method
8,решений,Method
9,»,Method
10,для,O
11,анализа,Task
12,персональных,Task
13,данных,Task
14,потенциальных,Task
15,клиентов,Task
16,банка,Task
17,.,O
18,Авторами,O
19,ставится,O
20,задача,O
21,по,O
22,выявлению,Task
23,персональных,Task
24,характеристик,Task
25,",",Task
26,влияющих,Task
27,на,Task
28,желание,Task
29,человека,Task
30,воспользоваться,Task
31,предложенной,Task
32,услугой,Task
33,и,Task
34,стать,Task
35,клиентом,Task
36,банка,Task
37,.,O
38,Для,O
39,решения,O
40,поставленной,O
41,задачи,O
42,создается,Contrib
43,многомерная,Contrib
44,структура,Contrib
45,",",O
46,к,O
47,данным,O
48,которой,O
49,применяется,O
50,алгоритм,Method
51,«,Method
52,Деревья,Method
53,решений,Method
54,»,Method
55,",",O
56,анализируются,O
57,возможность,O
58,и,O
59,особенности,O
60,его,O
61,применения,O
62,к,O
63,изучению,O
64,персональных,O
65,данных,O
66,.,O
