id,token,tag
0,Археологические,O
1,памятники,O
2,государства,O
3,Наньюэ,O
4,в,O
5,настоящее,O
6,время,O
7,остаются,O
8,малоизвестными,O
9,за,O
10,пределами,O
11,Китая,O
12,.,O
13,Их,O
14,изучение,O
15,позволяет,O
16,расширить,O
17,имеющиеся,O
18,знания,O
19,об,O
20,истории,O
21,и,O
22,культуре,O
23,Восточной,O
24,Азии,O
25,в,O
26,древности,O
27,.,O
28,Дворцовый,Conc
29,район,Conc
30,в,Conc
31,столице,Conc
32,царства,Conc
33,находился,Conc
34,на,Conc
35,территории,Conc
36,современного,Conc
37,района,Conc
38,Юэсю,Conc
39,в,Conc
40,г.,Conc
41,Гуанчжоу,Conc
42,и,Conc
43,занимал,Conc
44,площадь,Conc
45,ок,Conc
46,.,Conc
47,400,Conc
48,тыс,Conc
49,.,Conc
50,кв,Conc
51,.,Conc
52,м,Conc
53,.,O
54,Комплекс,Conc
55,включал,Conc
56,остатки,Conc
57,различных,Conc
58,построек,Conc
59,",",Conc
60,хозяйственные,Conc
61,ямы,Conc
62,",",Conc
63,колодцы,Conc
64,",",Conc
65,дворцовый,Conc
66,парк,Conc
67,с,Conc
68,прудом,Conc
69,и,Conc
70,декоративным,Conc
71,искусственным,Conc
72,ручьем,Conc
73,.,O
74,Известны,O
75,также,O
76,более,O
77,ранние,O
78,находки,O
79,",",O
80,характер,O
81,которых,O
82,остается,O
83,неясным,O
84,.,O
85,Дворцовый,Conc
86,парк,Conc
87,правителей,Conc
88,Наньюэ,Conc
89,–,Conc
90,один,Conc
91,из,Conc
92,древнейших,Conc
93,памятников,Conc
94,ландшафтного,Conc
95,искусства,Conc
96,на,Conc
97,территории,Conc
98,Китая,Conc
99,",",O
100,вероятно,O
101,",",O
102,он,Conc
103,служил,Conc
104,не,Conc
105,только,Conc
106,местом,Conc
107,отдыха,Conc
108,и,Conc
109,развлечений,Conc
110,",",Conc
111,но,Conc
112,и,Conc
113,пространством,Conc
114,для,Conc
115,проведения,Conc
116,обрядовых,Conc
117,действий,Conc
118,.,O
