id,token,tag
0,Статья,O
1,посвящена,O
2,реакции,Task
3,советских,Task
4,и,Task
5,белоэмигрантских,Task
6,СМИ,Task
7,на,Task
8,высылку,Task
9,интеллигенции,Task
10,из,Task
11,Советской,Task
12,России,Task
13,в,Task
14,1922,Task
15,г,Task
16,.,O
17,Эмигрантскими,Conc
18,СМИ,Conc
19,высылка,Conc
20,за,Conc
21,границу,Conc
22,1922,Conc
23,г.,Conc
24,рассматривалась,Conc
25,как,Conc
26,репрессивная,Conc
27,мера,Conc
28,",",Conc
29,направленная,Conc
30,против,Conc
31,оппозиционно,Conc
32,настроенной,Conc
33,в,Conc
34,отношении,Conc
35,к,Conc
36,советскому,Conc
37,режиму,Conc
38,«,Conc
39,буржуазной,Conc
40,»,Conc
41,интеллигенции,Conc
42,.,O
