id,token,tag
0,Дается,Contrib
1,определение,Contrib
2,понятия,Contrib
3,«,Contrib
4,дискурс,Contrib
5,»,Contrib
6,и,O
7,приводится,Contrib
8,классификация,Contrib
9,видов,Contrib
10,дискурса,Contrib
11,.,O
12,Дискурс,Contrib
13,рассматривается,Contrib
14,в,Contrib
15,рамках,Contrib
16,различных,Contrib
17,парадигм,Contrib
18,в,Contrib
19,системах,Contrib
20,У.,Contrib
21,Джеймса,Contrib
22,",",Contrib
23,О.,Contrib
24,Конта,Contrib
25,",",Contrib
26,К.,Contrib
27,Г.,Contrib
28,Юнга,Contrib
29,и,Contrib
30,И.,Contrib
31,Берлина,Contrib
32,.,O
33,На,O
34,примере,O
35,двух,O
36,видов,O
37,дискурса–,O
38,религиозного,O
39,и,O
40,музыкального,O
41,",",O
42,показана,O
43,сложность,Conc
44,адекватного,Conc
45,междисциплинарного,Conc|Method
46,лингво-культурологического,Conc|Method
47,анализа,Conc|Method
48,.,O
