id,token,tag
0,Рассматривается,Contrib
1,модель,Contrib
2,формирования,Contrib|Task
3,культуры,Contrib|Task
4,делового,Contrib|Task
5,общения,Contrib|Task
6,студентов,Contrib
7,вуза,Contrib
8,государственной,Contrib
9,службы,Contrib
10,",",O
11,разработанная,O
12,в,O
13,соответствии,O
14,с,O
15,Федеральным,O
16,государственным,O
17,образовательным,O
18,стандартом,O
19,высшего,O
20,профессионального,O
21,образования,O
22,по,O
23,направлению,O
24,подготовки,O
25,081100,O
26,Государственное,O
27,и,O
28,муниципальное,O
29,управление,O
30,(,O
31,квалификация,O
32,«,O
33,бакалавр,O
34,»,O
35,),O
36,.,O
37,Данная,O
38,модель,O
39,состоит,O
40,из,O
41,системы,O
42,педагогических,O
43,условий,O
44,",",O
45,необходимых,O
46,для,O
47,формирования,Task
48,культуры,Task
49,делового,Task
50,общения,Task
51,студентов,O
52,вуза,O
53,государственной,O
54,службы,O
55,.,O
