id,token,tag
0,Представлен,Contrib
1,теоретический,Contrib
2,анализ,Contrib
3,научных,Contrib
4,подходов,Contrib
5,к,Contrib
6,понятиям,Contrib
7,«,Contrib
8,потенциал,Contrib
9,»,Contrib
10,",",Contrib
11,«,Contrib
12,инновационный,Contrib
13,потенциал,Contrib
14,»,Contrib
15,",",Contrib
16,«,Contrib
17,инновационный,Contrib
18,потенциал,Contrib
19,личности,Contrib
20,»,Contrib
21,в,Contrib
22,психологии,Contrib
23,.,O
24,На,O
25,основе,O
26,методологического,Method
27,анализа,Method
28,автор,O
29,рассматривает,Contrib
30,основные,Contrib
31,составляющие,Contrib
32,инновационного,Contrib
33,потенциала,Contrib
34,личности,Contrib
35,:,Contrib
36,креативность,Contrib
37,",",Contrib
38,инновационность,Contrib
39,",",Contrib
40,предприимчивость,Contrib
41,.,O
